Country,ConvertedCompYearly,RemoteWork,YearsCodePro,Employment,LanguageHaveWorkedWith,AISelect,SalaryCategory,ExperienceLevel
Brazil,170000.0,Remote,17,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Elixir;JavaScript;TypeScript,Yes,High,Senior
Brazil,37297.0,Remote,12,"Employed, full-time",HTML/CSS;JavaScript;SQL;TypeScript,Yes,Medium,Senior
Peru,79218.0,"Hybrid (some remote, some in-person)",13,"Employed, full-time",Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;Swift;TypeScript,Yes,High,Senior
Brazil,10630.0,Remote,11,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;HTML/CSS;JavaScript;SQL;TypeScript,Yes,Low,Senior
Brazil,10070.0,In-person,4,"Employed, full-time",Bash/Shell (all shells);C;C#;Go;Java;JavaScript;PHP;PowerShell;Ruby;Rust;SQL;TypeScript,Yes,Low,Semi Senior
Brazil,49233.0,Remote,38,"Employed, full-time",Java;JavaScript;Kotlin;TypeScript,Yes,Medium,Senior
Brazil,34609.0,Remote,3,"Employed, full-time",HTML/CSS;JavaScript;SQL;TypeScript,"No, but I plan to soon",Medium,Semi Senior
Mexico,49354.0,Remote,13,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;JavaScript;PowerShell;SQL;TypeScript,Yes,Medium,Senior
Brazil,33568.0,Remote,21,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Python;R;Scala;SQL,Yes,Medium,Senior
Mexico,31483.0,Remote,9,"Employed, full-time",C#;Python,"No, but I plan to soon",Medium,Senior
Argentina,24000.0,"Hybrid (some remote, some in-person)",19,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C;C#;C++;Dart;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Perl;PHP;Python;Rust;SQL;Swift;Visual Basic (.Net),Yes,Medium,Senior
Brazil,52800.0,Remote,12,"Employed, full-time",HTML/CSS;JavaScript;Ruby;SQL,Yes,Medium,Senior
Brazil,18462.0,"Hybrid (some remote, some in-person)",27,"Employed, full-time",C#;Delphi;HTML/CSS;SQL;VBA,"No, and I don't plan to",Low,Senior
Argentina,105000.0,Remote,14,"Employed, full-time",HTML/CSS;JavaScript;Ruby;TypeScript,"No, and I don't plan to",High,Senior
Argentina,53541.0,Remote,36,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,"No, but I plan to soon",Medium,Senior
Mexico,15095.0,In-person,11,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;Swift,"No, and I don't plan to",Low,Senior
Brazil,23311.0,Remote,8,"Employed, full-time",C#;HTML/CSS;Java;JavaScript,"No, but I plan to soon",Medium,Senior
Brazil,96227.0,Remote,15,"Employed, full-time",C#;HTML/CSS;JavaScript,"No, but I plan to soon",High,Senior
Colombia,50467.0,Remote,14,"Employed, full-time",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Brazil,81681.0,Remote,5,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Python,Yes,High,Semi Senior
Brazil,18649.0,In-person,15,"Employed, full-time",Assembly;C#;C++;JavaScript;Python;SQL;VBA;Visual Basic (.Net),Yes,Low,Senior
Brazil,130541.0,Remote,10,"Employed, full-time",Bash/Shell (all shells);C;C++;Go;Objective-C;PowerShell,Yes,High,Senior
Argentina,27934.0,"Hybrid (some remote, some in-person)",16,"Employed, full-time",C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,"No, and I don't plan to",Medium,Senior
Mexico,70000.0,Remote,7,"Employed, full-time",Ruby;Scala;SQL,"No, and I don't plan to",High,Senior
Brazil,18649.0,Remote,5,"Employed, full-time",Go;SQL,Yes,Low,Semi Senior
Brazil,60235.0,"Hybrid (some remote, some in-person)",15,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Yes,High,Senior
Brazil,35806.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time",Assembly;C#;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Yes,Medium,Senior
Brazil,41960.0,"Hybrid (some remote, some in-person)",11,"Employed, full-time",HTML/CSS;JavaScript;SQL;TypeScript,Yes,Medium,Senior
Brazil,6714.0,Remote,Less than 1 year,"Employed, full-time",Dart;HTML/CSS;JavaScript;SQL,Yes,Low,Unknown
Brazil,50911.0,Remote,15,"Employed, full-time",Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,"No, and I don't plan to",Medium,Senior
Mexico,59515.0,Remote,16,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,"No, and I don't plan to",Medium,Senior
Argentina,25000.0,Remote,13,"Employed, full-time",Bash/Shell (all shells);JavaScript;Python;Ruby,"No, and I don't plan to",Medium,Senior
Argentina,15000.0,Remote,44,"Independent contractor, freelancer, or self-employed;Retired",Assembly;Bash/Shell (all shells);C;C++;Python,Yes,Low,Senior
