Language,Count
JavaScript,37492
HTML/CSS,31816
Python,30719
SQL,30682
TypeScript,23150
Bash/Shell (all shells),20412
Java,18239
C#,16318
C++,13827
C,12184
PHP,10951
PowerShell,8328
Go,8103
Rust,7559
Kotlin,5665
Lua,3728
Dart,3594
Assembly,3233
Ruby,3147
Swift,2829
R,2595
Visual Basic (.Net),2499
MATLAB,2378
VBA,2248
Groovy,2004
Scala,1547
Perl,1482
GDScript,1402
Objective-C,1283
Elixir,1243
Haskell,1193
Delphi,1073
MicroPython,942
Lisp,889
Clojure,737
Julia,684
Zig,667
Fortran,665
Solidity,644
Ada,542
Erlang,522
F#,512
Apex,502
Prolog,486
OCaml,458
Cobol,413
Crystal,253
Nim,210
Zephyr,184
